"Địa phương","2004 Tổng số","2004 Tiểu học","2004 Trung học cơ sở","2004 Trung học phổ thông","2005 Tổng số","2005 Tiểu học","2005 Trung học cơ sở","2005 Trung học phổ thông","2006 Tổng số","2006 Tiểu học","2006 Trung học cơ sở","2006 Trung học phổ thông","2007 Tổng số","2007 Tiểu học","2007 Trung học cơ sở","2007 Trung học phổ thông","2008 Tổng số","2008 Tiểu học","2008 Trung học cơ sở","2008 Trung học phổ thông","2009 Tổng số","2009 Tiểu học","2009 Trung học cơ sở","2009 Trung học phổ thông","2010 Tổng số","2010 Tiểu học","2010 Trung học cơ sở","2010 Trung học phổ thông","2011 Tổng số","2011 Tiểu học","2011 Trung học cơ sở","2011 Trung học phổ thông","2012 Tổng số","2012 Tiểu học","2012 Trung học cơ sở","2012 Trung học phổ thông","2013 Tổng số","2013 Tiểu học","2013 Trung học cơ sở","2013 Trung học phổ thông","2014 Tổng số","2014 Tiểu học","2014 Trung học cơ sở","2014 Trung học phổ thông","2015 Tổng số","2015 Tiểu học","2015 Trung học cơ sở","2015 Trung học phổ thông","2016 Tổng số","2016 Tiểu học","2016 Trung học cơ sở","2016 Trung học phổ thông","2017 Tổng số","2017 Tiểu học","2017 Trung học cơ sở","2017 Trung học phổ thông","2018 Tổng số","2018 Tiểu học","2018 Trung học cơ sở","2018 Trung học phổ thông","2019 Tổng số","2019 Tiểu học","2019 Trung học cơ sở","2019 Trung học phổ thông"
"     Yên Bái",78568,36356,29711,12501,77015,33886,28953,14176,74906,31724,28359,14823,70254,30722,26621,12911,66137,30500,24206,11431,64147,30776,22571,10800,63719,31667,21151,10901,63849,32248,21109,10492,64407,32997,21603,9807,65564,34163,22006,9395,66780,34549,23071,9160,68700,35401,23906,9393,70576,36578,24475,9523,72524,37443,25262,9819,75481,39077,26234,10170,74457,40420,26666,7371
"     Thái Nguyên",105540,42158,43911,19471,101237,39655,39992,21590,97451,38060,38912,20479,94386,37708,34708,21970,89435,37899,32366,19170,91369,38195,32892,20282,88879,41260,29503,18116,86395,38268,28243,19884,82538,37566,28338,16634,89772,41684,29583,18505,90721,42133,30652,17936,93755,44896,30683,18176,96952,47319,30986,18647,100631,49761,31907,18963,105988,53463,33005,19520,95307,56042,34547,4718
"     Lạng Sơn",88434,38034,35887,14513,85805,34151,35218,16436,79533,30967,33372,15194,76819,29250,30922,16647,71847,27827,28299,15721,68975,27573,25923,15479,66334,27774,23081,15479,64886,27440,22313,15133,63598,27296,21524,14778,62726,27894,20914,13918,62238,27677,21264,13297,62758,28207,21373,13178,63419,29176,21455,12788,64669,30327,21613,12729,66902,32356,21719,12827,72245,33911,21684,16650
"     Bắc Giang",159211,59399,71676,28136,160805,63322,65175,32308,162222,61707,64494,36021,147682,58299,56624,32759,135833,55771,49240,30822,135001,57753,48417,28831,136241,57690,47367,31184,134203,57039,46914,30250,132051,57312,46495,28244,132995,59185,45640,28170,133322,59897,46118,27307,135569,62533,45390,27646,137954,64962,45149,27843,141309,67603,45733,27973,148468,73659,46898,27911,137501,78618,48333,10550
"     Phú Thọ",133706,51706,56052,25948,127828,47827,52751,27250,123088,45139,49861,28088,115425,44202,45144,26079,108103,44099,40657,23347,104750,45294,38227,21229,104396,46205,34365,23826,102653,46703,33934,22016,100009,47046,33830,19133,103165,50027,34048,19090,105569,51726,35320,18523,109610,54605,36300,18705,113479,57312,37086,19081,118117,60147,38083,19887,125125,65230,39497,20398,120948,66415,41195,13338
"     Điện Biên",41994,26187,11014,4793,44411,25088,13714,5609,44379,25376,12801,6202,44059,23677,13561,6821,44729,25041,14376,5312,47405,26071,15254,6080,48147,27262,14866,6019,49999,28354,15224,6421,51195,29279,15573,6343,52480,30112,16053,6315,54007,30372,17534,6101,55701,30999,18237,6465,57056,31297,19325,6434,58561,31804,20128,6629,60779,33197,20733,6849,75091,33952,21545,19594
"     Lai Châu",25344,17962,5856,1526,27020,18659,6482,1879,28997,19207,7513,2277,29863,19053,8217,2593,31053,19293,9096,2664,32540,19966,9927,2647,33764,20728,10363,2673,35553,21746,11038,2769,37689,22865,11870,2954,39814,24122,12482,3210,41912,24925,13471,3516,44036,25722,14554,3760,45679,26444,15339,3896,47470,26817,16575,4078,49370,27640,17382,4348,59050,28123,18046,12881
"     Sơn La",100647,57090,32620,10937,101986,53537,35699,12750,99800,49815,36042,13943,98292,48815,35611,13866,96481,48605,34075,13801,94565,48497,32962,13106,97770,51564,32343,13863,97793,54027,30497,13269,99800,56294,31066,12440,102265,58262,32214,11789,105632,59818,34350,11464,109795,61686,36141,11968,114155,63255,38348,12552,118533,64586,40100,13847,123850,67361,41826,14663,140500,69155,43582,27763
"     Hoà Bình",82537,33947,34630,13960,79351,31024,33320,15007,75931,29588,31036,15307,71496,28738,28748,14010,68010,27538,25472,15000,64099,27098,22382,14619,64720,29047,21397,14276,62202,29030,19305,13867,64048,30335,21102,12611,64523,30778,21435,12310,66221,31927,22129,12165,68177,33252,22211,12714,70010,34251,22914,12845,72237,35935,23564,12738,75576,38098,24835,12643,85517,38866,25544,21107
"Bắc Trung Bộ và Duyên hải miền Trung",2215251,956672,900385,358194,2178143,889160,889875,399108,2080133,830925,834161,415047,2004032,781267,795480,427285,1904342,743766,718789,441787,1854758,754329,663972,436457,1796502,746754,616994,432754,1747124,739294,590141,417689,1691145,734147,565014,391984,1666111,745570,558259,362282,1660477,753365,566045,341067,1665400,770900,565021,329479,1656829,756701,566212,333916,1683858,780018,572914,330926,1722789,821959,568759,332071,1769930,854543,577125,338262
