"Địa phương","2002 Tổng số","2002 Tiểu học","2002 Trung học cơ sở","2002 Trung học phổ thông","2003 Tổng số","2003 Tiểu học","2003 Trung học cơ sở","2003 Trung học phổ thông","2004 Tổng số","2004 Tiểu học","2004 Trung học cơ sở","2004 Trung học phổ thông","2005 Tổng số","2005 Tiểu học","2005 Trung học cơ sở","2005 Trung học phổ thông","2006 Tổng số","2006 Tiểu học","2006 Trung học cơ sở","2006 Trung học phổ thông","2007 Tổng số","2007 Tiểu học","2007 Trung học cơ sở","2007 Trung học phổ thông","2008 Tổng số","2008 Tiểu học","2008 Trung học cơ sở","2008 Trung học phổ thông","2009 Tổng số","2009 Tiểu học","2009 Trung học cơ sở","2009 Trung học phổ thông","2010 Tổng số","2010 Tiểu học","2010 Trung học cơ sở","2010 Trung học phổ thông","2011 Tổng số","2011 Tiểu học","2011 Trung học cơ sở","2011 Trung học phổ thông","2012 Tổng số","2012 Tiểu học","2012 Trung học cơ sở","2012 Trung học phổ thông","2013 Tổng số","2013 Tiểu học","2013 Trung học cơ sở","2013 Trung học phổ thông","2014 Tổng số","2014 Tiểu học","2014 Trung học cơ sở","2014 Trung học phổ thông","2015 Tổng số","2015 Tiểu học","2015 Trung học cơ sở","2015 Trung học phổ thông","2016 Tổng số","2016 Tiểu học","2016 Trung học cơ sở","2016 Trung học phổ thông","2017 Tổng số","2017 Tiểu học","2017 Trung học cơ sở","2017 Trung học phổ thông","2018 Tổng số","2018 Tiểu học","2018 Trung học cơ sở","2018 Trung học phổ thông","2019 Tổng số","2019 Tiểu học","2019 Trung học cơ sở","2019 Trung học phổ thông"
"Lâm Đồng",268426,143013,93020,32393,272717,139220,96882,36615,271927,131814,98664,41449,271133,127392,99203,44538,266865,123630,97342,45893,263828,120994,96045,46789,260701,117816,95415,47470,254248,116478,90702,47068,249818,114688,87717,47413,247178,112291,87368,47519,244013,111655,85496,46862,245134,114423,85901,44810,244995,116722,84660,43613,245717,120253,81898,43566,245340,119685,81316,44339,247412,122082,81960,43370,253840,127011,84668,42161,259473,128565,88191,42717
"Đông Nam Bộ",2091256,1048611,737979,304666,2090055,1029651,742392,318012,2064298,976307,754585,333406,2065063,952673,752041,360349,2074820,955309,750967,368544,2074239,958234,742545,373460,2066593,966095,726735,373763,2096231,1029582,695627,371022,2127060,1068174,680782,378104,2173656,1090273,704499,378884,2210521,1125717,703584,381220,2295319,1181896,749544,363879,2376291,1220631,793884,361776,2463261,1281194,810339,371728,2511093,1278002,841611,391480,2608507,1334462,873758,400287,1451886,784438,473568,193880,2833454,1464565,941643,427246
"Bình Phước",178672,101842,58548,18282,181168,99532,61357,20279,175122,92287,63779,19056,180936,91412,63063,26461,176240,90017,58901,27322,178075,89938,60898,27239,174965,89514,58348,27103,174455,91020,56084,27351,174624,91869,54914,27841,177159,92149,56765,28245,172859,93195,51883,27781,182218,95380,60068,26770,185034,97312,61406,26316,187301,99150,61266,26885,186462,96877,61603,27982,189956,97441,63730,28785,196327,101500,65946,28881,199669,102260,67804,29605
"Tây Ninh",206078,108659,75006,22413,200293,100952,75345,23996,195200,94940,73920,26340,185959,89232,69439,27288,181777,87609,67247,26921,177389,86013,63550,27826,173507,84582,61893,27032,173760,87391,58874,27495,173114,89218,56872,27024,173658,89428,57899,26331,172095,90106,56841,25148,177067,92932,59665,24470,178287,94558,59881,23848,183491,96938,62008,24545,184242,94830,63245,26167,187817,96060,64907,26850,192186,99942,65047,27197,193977,98693,67294,27990
"Bình  Dương",151654,73839,54128,23687,151378,73086,54171,24121,151512,69837,55243,26432,152341,69105,54860,28376,155043,71253,55721,28069,153213,73713,54235,25265,151996,76576,52937,22483,157901,85357,51105,21439,165047,92435,50707,21905,177016,100924,55040,21052,189474,110134,57782,21558,210153,123441,64297,22415,231142,135468,71619,24055,253494,151738,76040,25716,270508,157396,85230,27882,294895,172503,93600,28792,325680,193811,101138,30731,348866,205273,111764,31829
"Đồng Nai",487424,241237,177050,69137,482716,231982,179245,71489,468645,217385,179249,72011,464640,206979,178844,78817,458773,202426,174798,81549,448906,199720,168220,80966,438987,198037,161102,79848,435353,205751,153286,76316,435506,210681,146117,78708,436565,211956,146533,78076,439415,215997,145836,77582,451302,227077,151073,73152,463501,235512,157586,70403,479091,249059,158974,71058,488017,251825,162811,73381,506456,263182,168444,74830,524343,279858,171690,72795,552023,290582,184076,77365
"Bà Rịa - Vũng Tàu",197200,100517,68827,27856,195303,96285,68622,30396,197248,91690,72113,33445,195905,87509,72031,36365,196066,85747,72598,37721,193370,84427,71375,37568,188713,84285,67850,36578,186426,88051,63697,34678,186813,90716,61076,35021,187268,91387,61827,34054,189906,92882,61827,35197,191259,95720,63634,31905,195880,98336,66679,30865,198084,100255,66989,30840,198072,98290,68220,31562,204342,102399,69807,32136,213350,109327,69747,34276,219188,112351,72730,34107
"TP. Hồ Chí Minh",870228,422517,304420,143291,879197,427814,303652,147731,876571,410168,310281,156122,885282,408436,313804,163042,906921,418257,321702,166962,923286,424423,324267,174596,938425,433101,324605,180719,968336,472012,312581,183743,991956,493255,311096,187605,1021990,504429,326435,191126,1046772,523403,329415,193954,1083320,547346,350807,185167,1122447,559445,376713,186289,1161800,584054,385062,192684,1183792,578784,400502,204506,1225041,602877,413270,208894,2934937,1521256,992475,421206,1319731,655406,437975,226350
"Đồng bằng sông Cửu Long",3325818,1820507,1102155,403156,3277290,1702951,1166812,407527,3154056,1564768,1158216,431072,3027199,1479397,1091718,456084,2939372,1445629,1039425,454318,2838149,1425810,969364,442975,2765917,1401693,935696,428528,2762958,1464569,886341,412048,2761089,1500078,865733,395278,2783461,1500632,891757,391072,2798522,1504326,901371,392825,2834434,1518519,942750,373165,2865664,1511055,983773,370836,2885652,1522455,986098,377099,2864642,1470743,994255,399644,2886611,1471179,1006941,408491,270749,136904,92504,41341,2955792,1513365,1009429,432998
"Long An",268829,137680,97797,33352,265595,132953,98629,34013,260072,122756,99601,37715,253911,117544,94971,41396,249123,114801,92097,42225,242594,112182,87593,42819,235777,109474,84814,41489,241219,117835,81524,41860,245400,122003,80853,42544,244495,122658,81192,40645,245643,125089,80185,40369,248756,127098,83689,37969,253171,127094,89037,37040,258084,130708,90578,36798,259380,128327,92744,38309,264372,130478,94257,39637,282320,138126,100064,44130,276045,138772,95127,42146
