"Ðịa phương","2002 Tổng số","2002 Tiểu học","2002 Trung học cơ sở","2002 Trung học phổ thông","2003 Tổng số","2003 Tiểu học","2003 Trung học cơ sở","2003 Trung học phổ thông","2004 Tổng số","2004 Tiểu học","2004 Trung học cơ sở","2004 Trung học phổ thông","2005 Tổng số","2005 Tiểu học","2005 Trung học cơ sở","2005 Trung học phổ thông","2006 Tổng số","2006 Tiểu học","2006 Trung học cơ sở","2006 Trung học phổ thông","2007 Tổng số","2007 Tiểu học","2007 Trung học cơ sở","2007 Trung học phổ thông","2008 Tổng số","2008 Tiểu học","2008 Trung học cơ sở","2008 Trung học phổ thông","2009 Tổng số","2009 Tiểu học","2009 Trung học cơ sở","2009 Trung học phổ thông","2010 Tổng số","2010 Tiểu học","2010 Trung học cơ sở","2010 Trung học phổ thông","2011 Tổng số","2011 Tiểu học","2011 Trung học cơ sở","2011 Trung học phổ thông","2012 Tổng số","2012 Tiểu học","2012 Trung học cơ sở","2012 Trung học phổ thông","2013 Tổng số","2013 Tiểu học","2013 Trung học cơ sở","2013 Trung học phổ thông","2014 Tổng số","2014 Tiểu học","2014 Trung học cơ sở","2014 Trung học phổ thông","2015 Tổng số","2015 Tiểu học","2015 Trung học cơ sở","2015 Trung học phổ thông","2016 Tổng số","2016 Tiểu học","2016 Trung học cơ sở","2016 Trung học phổ thông","2017 Tổng số","2017 Tiểu học","2017 Trung học cơ sở","2017 Trung học phổ thông","2018 Tổng số","2018 Tiểu học","2018 Trung học cơ sở","2018 Trung học phổ thông","2019 Tổng số","2019 Tiểu học","2019 Trung học cơ sở","2019 Trung học phổ thông"
"Thái  Nguyên",11759,5318,4981,1460,11669,5323,4851,1495,11711,5150,4933,1628,11516,4926,4850,1740,11737,5084,4941,1712,11283,4725,4722,1836,10677,4788,4260,1629,10748,4686,4345,1717,10741,4852,4193,1696,10519,4721,3681,2117,11083,5120,3879,2084,11396,5325,4028,2043,11364,5414,4008,1942,11476,5452,4010,2014,11440,5508,3990,1942,11531,5651,3918,1962,10844,5378,3480,1986,10760,5289,3570,1901
"Lạng Sơn",9249,4895,3707,647,9784,4880,4206,698,10025,4763,4434,828,11108,5836,4385,887,10095,4630,4425,1040,10471,4716,4558,1197,10707,4813,4518,1376,10816,4921,4472,1423,10896,5027,4355,1514,10639,4798,4213,1628,10892,5183,4027,1682,11006,5182,4125,1699,10659,5011,3965,1683,10485,4997,3899,1589,10416,5029,3822,1565,10214,4963,3713,1538,9740,4829,3456,1455,9211,4572,3223,1416
"Bắc Giang",15648,7981,5936,1731,16638,8149,6483,2006,16960,7731,6854,2375,16689,7379,6843,2467,16440,6987,6901,2552,16922,7342,6945,2635,16247,6980,6495,2772,16158,7052,6433,2673,16506,7013,6695,2798,16281,6981,6577,2723,16893,7312,6735,2846,16892,7385,6710,2797,16603,7352,6540,2711,16431,7368,6395,2668,16474,7370,6321,2783,16566,7439,6381,2746,16390,7477,6245,2668,16452,7658,6062,2732
"Phú Thọ",13419,6324,5694,1401,14887,6688,6089,2110,14945,6574,6130,2241,14752,6283,6149,2320,14188,5899,5857,2432,14646,6021,6050,2575,14552,6024,6071,2457,14796,6132,6029,2635,14696,6165,5972,2559,14052,5916,5796,2340,14047,6073,5824,2150,14168,6155,5837,2176,14306,6264,5837,2205,14600,6427,5898,2275,14570,6465,5874,2231,14364,6400,5706,2258,13164,6046,5195,1923,13188,6110,4993,2085
"Điện Biên",..,..,..,..,..,..,..,..,6306,3731,2036,539,6641,3747,2224,670,7078,3977,2363,738,7039,3650,2498,891,7562,3892,2796,874,7853,4056,2799,998,8395,4453,2897,1045,8108,4414,2645,1049,9306,5174,2989,1143,8647,4805,2669,1173,8465,4699,2609,1157,8506,4729,2587,1190,8459,4535,2742,1182,8338,4408,2752,1178,8392,4393,2809,1190,8117,4202,2724,1191
"Lai Châu",7180,4757,1929,494,9153,6170,2390,593,3884,2610,1113,161,4432,2886,1332,214,5172,3282,1619,271,5700,3559,1791,350,5861,3610,1856,395,6194,3880,1869,445,6434,4039,1948,447,6828,4237,2094,497,6680,4114,2040,526,7027,4271,2212,544,6982,4219,2205,558,6930,4151,2118,661,6821,4017,2104,700,6629,3896,2051,682,6568,3808,2076,684,6498,3767,2084,647
"Sơn La",11526,7414,3448,664,12181,7218,4150,813,12524,7234,4382,908,12951,6980,4851,1120,13042,6824,4965,1253,13399,6868,5174,1357,14077,7094,5489,1494,13330,6674,5099,1557,13896,7088,5224,1584,13990,7282,5163,1545,14023,7330,5103,1590,14035,7322,5098,1615,14293,7590,5104,1599,14303,7620,5116,1567,14098,7482,5099,1517,14134,7564,5065,1505,13693,7365,4781,1547,13509,7164,4691,1654
"Hòa Bình",11009,5678,4385,946,11544,5651,4790,1103,11078,5448,4522,1108,10901,5252,4519,1130,10981,4987,4733,1261,11000,4923,4698,1379,10871,4829,4572,1470,10595,4681,4326,1588,11495,5244,4551,1700,10543,4758,4143,1642,10852,4780,4437,1635,10649,4986,4102,1561,10583,5032,3998,1553,10434,4956,3946,1532,10272,4839,3907,1526,10152,4895,3755,1502,9653,4728,3399,1526,9732,4632,3535,1565
"Bắc Trung Bộ và Duyên hải miền Trung",183311,89924,69187,24200,191984,90669,75364,25951,196408,88403,79333,28672,196212,85219,80669,30324,200235,84178,83995,32062,201428,83317,83707,34404,201349,83116,82581,35652,200709,82414,81785,36510,203153,84316,81251,37586,200710,84452,78970,37288,202661,86531,79070,37060,202726,86773,78396,37557,200049,86741,76144,37164,200839,87877,75875,37087,197748,87059,73893,36796,194349,86315,71780,36254,183736,84007,67139,32590,182015,81815,65919,34281
"Thanh Hóa",34246,16848,13306,4092,36370,16854,14946,4570,37326,16122,16092,5112,36366,15250,15551,5565,38323,15461,17114,5748,36577,14284,16118,6175,36838,14549,16059,6230,35363,13842,15435,6086,35223,13809,15277,6137,34206,14001,14390,5815,32745,13855,13736,5154,33812,13974,14291,5547,31573,13314,12826,5433,32645,13945,13139,5561,31477,13608,12370,5499,30224,13324,11494,5406,29435,13360,11018,5057,28646,13096,10558,4992
